timestamp,location,serial,power,cadence,front,rear
2023-04-28T19:46:36.617425,wheel,19005,173.9,89.0,40,8
2023-04-28T19:46:37.353173,crank,52853,184.8,89.5,40,8
2023-04-28T19:46:37.602870,crank,52853,194.9,90.1,40,8
2023-04-28T19:46:37.616206,wheel,19005,184.4,88.0,40,8
2023-04-28T19:46:38.102264,crank,52853,201.2,90.2,40,8
2023-04-28T19:46:38.115585,wheel,19005,179.2,88.0,40,8
2023-04-28T19:46:38.615180,wheel,19005,181.8,89.0,40,8
2023-04-28T19:46:38.851416,crank,52853,204.7,92.1,40,8
2023-04-28T19:46:39.114429,wheel,19005,207.7,89.0,40,8
2023-04-28T19:46:39.600424,crank,52853,225.2,89.5,40,8
2023-04-28T19:46:40.113151,wheel,19005,226.0,89.0,40,8
2023-04-28T19:46:40.612642,wheel,19005,214.4,90.0,40,8
2023-04-28T19:46:41.111900,wheel,19005,212.4,90.0,40,8
2023-04-28T19:46:41.611288,wheel,19005,202.1,90.0,40,8
2023-04-28T19:46:42.097888,crank,52853,218.6,91.9,40,8
2023-04-28T19:46:42.610158,wheel,19005,195.2,89.0,40,8
2023-04-28T19:46:42.846582,crank,52853,196.4,91.6,40,8
2023-04-28T19:46:43.346175,crank,52853,203.7,90.1,40,8
2023-04-28T19:46:43.359238,wheel,19005,194.8,89.0,40,8
2023-04-28T19:46:43.608867,wheel,19005,194.1,89.0,40,8
2023-04-28T19:46:44.108468,wheel,19005,194.0,89.0,40,8
2023-04-28T19:46:44.344765,crank,52853,209.0,91.2,40,8
2023-04-28T19:46:44.844632,crank,52853,208.5,90.6,40,8
2023-04-28T19:46:45.107014,wheel,19005,194.1,89.0,40,8
2023-04-28T19:46:45.593342,crank,52853,224.1,90.8,40,8
2023-04-28T19:46:45.856110,wheel,19005,194.8,89.0,40,8
2023-04-28T19:46:46.105862,wheel,19005,195.6,89.0,40,8
2023-04-28T19:46:46.342381,crank,52853,218.1,92.0,40,8
2023-04-28T19:46:46.605171,wheel,19005,201.7,90.0,40,8
2023-04-28T19:46:47.091511,crank,52853,207.2,91.2,40,8
2023-04-28T19:46:47.341165,crank,52853,211.3,92.2,40,8
2023-04-28T19:46:47.604181,wheel,19005,195.7,89.0,40,8
2023-04-28T19:46:48.090303,crank,52853,197.3,90.8,40,8
2023-04-28T19:46:48.103471,wheel,19005,178.6,89.0,40,8
2023-04-28T19:46:48.589648,crank,52853,189.8,91.9,40,8
2023-04-28T19:46:48.602735,wheel,19005,159.1,90.0,40,8
2023-04-28T19:46:49.102129,wheel,19005,176.7,90.0,40,8
2023-04-28T19:46:49.338782,crank,52853,187.8,91.0,40,8
2023-04-28T19:46:50.087884,crank,52853,204.6,90.1,40,8
2023-04-28T19:46:50.100873,wheel,19005,195.2,89.0,40,8
2023-04-28T19:46:50.600278,wheel,19005,199.3,89.0,40,8
2023-04-28T19:46:51.099916,wheel,19005,202.7,89.0,40,8
2023-04-28T19:46:51.599142,wheel,19005,202.9,89.0,40,8
2023-04-28T19:46:51.835779,crank,52853,215.4,90.9,40,8
2023-04-28T19:46:52.085448,crank,52853,224.6,91.0,40,8
2023-04-28T19:46:52.597809,wheel,19005,205.2,89.0,40,8
2023-04-28T19:46:52.834586,crank,52853,230.8,91.5,40,8
2023-04-28T19:46:53.097320,wheel,19005,215.6,89.0,40,8
2023-04-28T19:46:53.333981,crank,52853,219.6,91.6,40,8
2023-04-28T19:46:53.596596,wheel,19005,210.3,90.0,40,8
2023-04-28T19:46:54.095982,wheel,19005,201.9,90.0,40,8
2023-04-28T19:46:54.332780,crank,52853,204.5,91.6,40,8
2023-04-28T19:46:55.082086,crank,52853,201.4,91.8,40,8
2023-04-28T19:46:55.094831,wheel,19005,196.1,90.0,40,8
2023-04-28T19:46:55.581250,crank,52853,210.5,90.3,40,8
2023-04-28T19:46:55.594147,wheel,19005,187.6,90.0,40,8
2023-04-28T19:46:55.831174,crank,52853,194.5,92.9,40,8
2023-04-28T19:46:56.093580,wheel,19005,174.1,90.0,40,8
2023-04-28T19:46:56.593033,wheel,19005,172.4,89.0,40,8
